Case Status,Legislation,ICOCaseRef,Received Date,Received Year,Received FY,Received Qtr,Received FY Month,Completed Date,Completed Year,Completed FY,Completed Qtr,FY Completed Month,Sector,SubSector,Submitted About Account,Decision,DecisionDetail1,DecisionDetail2,ISCyberIncident
Completed,GDPR,IC-353265-J5S7,30/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",West Berkshire District Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-349176-S6G8,05/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Charitable and voluntary,Local charities,Elim Foursquare Gospel Alliance,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-353253-D3S3,27/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Insurance,Inspop.com Limited (Confused.com),No Further Action,Not PDB,Unassigned,No
Completed,GDPR,IC-349339-Z2W3,09/12/2024,2024,2024/25,Q3,09-Dec,02/01/2025,2025,2024/25,Q4,10-Jan,Education and childcare,Further education,Newham Sixth Form College,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-315400-B8W7,23/06/2024,2024,2024/25,Q1,03-Jun,03/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Unassigned,Acorn Insurance & Financial Services Limited ,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353359-M4J1,24/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Insurance,AXA PPP Healthcare Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353238-Z4M1,27/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Retail and manufacture,Supplier of goods,Blinds 2 Go Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353224-D9F1,26/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Health,Unassigned,Cambridge Hips And Knees Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-352839-S1Z5,20/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Transport and leisure,Holiday providers and services,Carnival Plc,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353427-K8Y4,03/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Transport and leisure,Accommodation providers,Champneys Henlow Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-353349-T7K9,02/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Justice,Police Forces,Chief Constable Staffordshire Police,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353247-C3J6,28/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Social care,Domiciliary care,Chiltern Support & Housing Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353404-K3D3,03/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Land or property services,Housing association,Clarion Housing Association Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-352890-D8B6,23/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Legal,Court Advocate,Crown Office and Procurator Fiscal Service,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-351980-G2M5,18/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Land or property services,Property management,C-urb 6 Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-352860-H5H0,23/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Local government,County Council,Derbyshire County Council,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353469-D6S2,03/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Health,Secondary care,East Cheshire NHS Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353337-L0K2,02/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Social care,Domiciliary care,Eden Supported Living Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353348-B7Z0,02/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Local government,Representative and arm's length bodies,Essex County Fire and Rescue Service,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353235-M5Y2,27/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Retail and manufacture,Supplier of goods,Furniture Village Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-351903-N6R9,18/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Health,Healthcare and pharmaceuticals,Huddersfield University Health Centre Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-353381-Z8D7,02/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Health,Healthcare and pharmaceuticals,Imagine Independence,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353357-W0G3,02/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,Health,Pharmacist,J W Darling Pharmacy,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353415-W3N6,03/01/2025,2025,2024/25,Q4,10-Jan,03/01/2025,2025,2024/25,Q4,10-Jan,"Finance, insurance and credit",Financial services and advice,Lakes Mortgages,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-353317-K7L8,31/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",London Borough of Croydon,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-348014-K7T5,02/12/2024,2024,2024/25,Q3,09-Dec,03/01/2025,2025,2024/25,Q4,10-Jan,General business,Motor Trade,Marshall Motor Group Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
