Case Status,Legislation,ICOCaseRef,Received Datetime,Received Year,Received FY,Received Qtr,Received FY Month,Completed Date,Completed Year,Completed FY,Completed Qtr,FY Completed Month,Completed Financial Week,Sector,SubSector,Submitted About Account,Decision,DecisionDetail1,DecisionDetail2,ISCyberIncident
Completed,GDPR,IC-316457-R7N8,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Local government,"Unitary Authority (London Borough, Mets and Councils in Scotland and Wales)",London Borough of Hounslow,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-315790-N6J5,26/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Health,Healthcare and pharmaceuticals,Medical Consultant Services Ltd,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316348-Z6H8,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Land or property services,Estate agency / letting agency,Moat Homes Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316489-X0F6,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,General business,Supplier of services,Post Office Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-315797-H9G3,26/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Health,General Practitioner,Roxbourne Medical Centre,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316423-M0L0,01/07/2024,2024,2024/25,Q2,04-Jul,01/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Training Company,Screen Alliance For Wales Limited,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
Completed,GDPR,IC-316430-P9J7,28/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Academy and Free Schools,Shaw Education Trust,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-316328-L7C8,27/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Online Technology and Telecoms,Service providers,Sinch UK Ltd,No Further Action,Breach recorded - regulatory action criteria not met,Unassigned,Yes
Completed,GDPR,IC-313386-V9S6,14/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Maintained schools,Springwell School,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,Yes
Completed,GDPR,IC-316515-L8P8,29/06/2024,2024,2024/25,Q1,03-Jun,01/07/2024,2024,2024/25,Q2,04-Jul,14,Education and childcare,Higher education,Swansea University,Informal action taken,Breach recorded - regulatory action criteria not met,Advice given,No
